ontolex.LexicalSense	lexicog.usageExample	lexinfo.frequency	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.la	rdfs.label.pt	skos.definition.la	skos.definition.pt	skos.note
lexicalSense:n00001.sg01.s01							(significa. de)		 ( significa . de ) 	
lexicalSense:n00001.sg01.s02	usageExample:n00001.sg01.s02.u01					separationem & motũ à loco significat. 		 separationem & motũ à loco significat . 		
lexicalSense:n00001.sg01.s03	usageExample:n00001.sg01.s03.u01, usageExample:n00001.sg01.s03.u02		Interdũ			designat post		 designat post 		
lexicalSense:n00001.sg01.s04	usageExample:n00001.sg01.s04.u01, usageExample:n00001.sg01.s04.u02		Aliquãdo			denotat officium		 denotat officium 		
lexicalSense:n00002.sg01.s01	usageExample:n00002.sg01.s01.u01		cũ recipiat aspirationẽ.			est interiectio dolẽtis. vel commiserãtis. 		 est interiectio dolẽtis . vel commiserãtis . 		
lexicalSense:n00002.sg01.s02	usageExample:n00002.sg01.s02.u01		si multiplicatur			ridẽtis vox est		 ridẽtis vox est 		
lexicalSense:n00003.sg01.s01	usageExample:n00003.sg01.s01.u01, usageExample:n00003.sg01.s01.u02, usageExample:n00003.sg01.s01.u03, usageExample:n00003.sg01.s01.u04, usageExample:n00003.sg01.s01.u05					idẽ valent & significãt quod praepositio à. 	s. de. 	 idẽ valent & significãt quod praepositio à . 	 s . de . 	
lexicalSense:n00004.sg01.s01							A copeira. ou mesa de cõtar		 A copeira . ou mesa de cõtar 	
lexicalSense:n00005.sg01.s01							A peça do enxadrez		 A peça do enxadrez 	
lexicalSense:n00006.sg01.s01							Ho ladrão de gado		 Ho ladrão de gado 	
lexicalSense:n00007.sg01.s01							Ho furto de gado		 Ho furto de gado 	
lexicalSense:n00008.sg01.s01							Ho lançamento per força		 Ho lançamento per força 	
lexicalSense:n00009.sg01.s01							Ho escriuão iudicial		 Ho escriuão iudicial 	
lexicalSense:n00010.sg01.s01							Estranhar & alhear		 Estranhar & alhear 	
lexicalSense:n00011.sg01.s01							Ho estranhamento. ou alheamento		 Ho estranhamento . ou alheamento 	
lexicalSense:n00012.sg01.s01		lexinfo:rarelyUsed					Apartar-se. 		 Apartar - se . 	rarum.
lexicalSense:n00013.sg01.s01							A tia irmaã da quarta auô		 A tia irmaã da quarta auô 	
lexicalSense:n00014.sg01.s01						pater gratus dño. vel pater gratificans Deum		 pater gratus dño . vel pater gratificans Deum 		
lexicalSense:n00015.sg01.s01							Cousa por tengir. ou em branco		 Cousa por tengir . ou em branco 	
lexicalSense:n00016.sg01.s01							Desatentado. 		 Desatentado . 	Prouerbium.
lexicalSense:n00017.sg01.s01							De bẽ em melhor		 De bẽ em melhor 	
lexicalSense:n00018.sg01.s01							Pedir a quem não tem		 Pedir a quem não tem 	
lexicalSense:n00019.sg01.s01							Cousa pera onde não ha caminho		 Cousa pera onde não ha caminho 	
lexicalSense:n00020.sg01.s01						pater proaui. 	Ho quarto auò	 pater proaui . 	 Ho quarto auò 	
lexicalSense:n00021.sg01.s01							a quarta auo		 a quarta auo 	
lexicalSense:n00022.sg01.s01							Ho irmão da quarta auo		 Ho irmão da quarta auo 	
lexicalSense:n00023.sg01.s01							Ho escriuão da puridade		 Ho escriuão da puridade 	
lexicalSense:n00024.sg01.s01						idem quod abacus		 idem quod abacus 		
lexicalSense:n00025.sg01.s01						mons excelsus. diuidens terram Amõ & Euphratis à terra promissionis. cõtra Iericho		 mons excelsus . diuidens terram Amõ & Euphratis à terra promissionis . cõtra Iericho 		
lexicalSense:n00026.sg01.s01							Ho abbade		 Ho abbade 	
lexicalSense:n00027.sg01.s01							A abbadessa. ou prioressa. 		 A abbadessa . ou prioressa . 	sed latinius Sacerdos maxima.
lexicalSense:n00028.sg01.s01							Abbadia		 Abbadia 	nouum est.
lexicalSense:n00029.sg01.s01							Patria de Democrito Philosopho		 Patria de Democrito Philosopho 	
lexicalSense:n00030.sg01.s01							Em toda parte comẽ pão. 		 Em toda parte comẽ pão . 	Proue. porque os pouos Teios maltratados dos Persas. se forã morar a Abdera cidade de Tracia. onde viuerão a sua vontade.
lexicalSense:n00031.sg01.s01							Ser paruo		 Ser paruo 	
lexicalSense:n00032.sg01.s01							Deserdar. priuar. ou sonegar		 Deserdar . priuar . ou sonegar 	
lexicalSense:n00033.sg01.s01							Tirar o officio a alguem		 Tirar o officio a alguem 	
lexicalSense:n00034.sg01.s01							Deixar o officio		 Deixar o officio 	
lexicalSense:n00035.sg01.s01							Ho deserdamento. ou priuação		 Ho deserdamento . ou priuação 	
lexicalSense:n00036.sg01.s01							lugar escõdido. ou secreto		 lugar escõdido . ou secreto 	
lexicalSense:n00037.sg01.s01							Secretamente		 Secretamente 	
lexicalSense:n00038.sg01.s01							Esconder. 		 Esconder . 	actiuo.
lexicalSense:n00039.sg01.s01							Vnto. ou golodice		 Vnto . ou golodice 	
lexicalSense:n00040.sg01.s01							Tirar. ou apartar. 		 Tirar . ou apartar . 	actiuo.
lexicalSense:n00041.sg01.s01							Ho a. b. c		 Ho a . b . c 	
lexicalSense:n00042.sg01.s01							Cousa do a. b. c		 Cousa do a . b . c 	
lexicalSense:n00043.sg01.s01							Materia de a. b. c		 Materia de a . b . c 	
lexicalSense:n00044.sg01.s01							A cartilha		 A cartilha 	
lexicalSense:n00045.sg01.s01							As auelaãs		 As auelaãs 	
lexicalSense:n00046.sg01.s01							Apartar-se. ou ir-se. 		 Apartar - se . ou ir - se . 	neutro.
lexicalSense:n00047.sg01.s01							O moço que serue de leuar cartas		 O moço que serue de leuar cartas 	
lexicalSense:n00048.sg01.s01							De mal em pior		 De mal em pior 	
lexicalSense:n00049.sg01.s01							Andar errado		 Andar errado 	
lexicalSense:n00050.sg01.s01							Errar o aluo. ou não acertar		 Errar o aluo . ou não acertar 	
lexicalSense:n00051.sg01.s01							Arrancar. 		 Arrancar . 	dixit Cicero.
lexicalSense:n00052.sg01.s01							Vjr de grande geração. 		 Vjr de grande geração . 	Diz-se porque os Eteobutades forã os principaes em Athenas.
lexicalSense:n00053.sg01.s01							Espalhar		 Espalhar 	
lexicalSense:n00054.sg01.s01							Auerâ tres annos. 		 Auerâ tres annos . 	
lexicalSense:n00055.sg01.s01							Aborrecer. ou estar alheo dalgo		 Aborrecer . ou estar alheo dalgo 	
lexicalSense:n00056.sg01.s01							Estar fora de casar		 Estar fora de casar 	
lexicalSense:n00057.sg01.s01							Desamoestar		 Desamoestar 	
lexicalSense:n00058.sg01.s01							Cousa vil. ou baixa		 Cousa vil . ou baixa 	
lexicalSense:n00059.sg01.s01							Vilmente		 Vilmente 	
lexicalSense:n00060.sg01.s01							A aruore de que se fazem os mastos		 A aruore de que se fazem os mastos 	
lexicalSense:n00061.sg01.s01							Cousa desta aruore		 Cousa desta aruore 	
lexicalSense:n00062.sg01.s01							O mercador de madeyra		 O mercador de madeyra 	
lexicalSense:n00063.sg01.s01							Deytar fora		 Deytar fora 	
lexicalSense:n00064.sg01.s01							Desconfiar. ou desesperar. 		 Desconfiar . ou desesperar . 	tomado dos soldados que na guerra descõfiãdo de poder vencer. deytauão o escudo & lança fora.
lexicalSense:n00065.sg01.s01							Afugentar. ou furtar gado		 Afugentar . ou furtar gado 	
lexicalSense:n00066.sg01.s01							O ladrão de gado		 O ladrão de gado 	
