lexicog.LexicographicComponent	rdfs.label	lexinfo.note	lexicog.describes	skos.note
lexicogComponent:n00007.e02_comp	Cardoso’s subentry for 'abactus'	siue	lexicalEntry:n00007.e02	
lexicogComponent:n00078.e02_comp	Cardoso’s subentry for 'abitus'	siue	lexicalEntry:n00078.e02	
lexicogComponent:n00112.e02_comp	Cardoso’s subentry for 'abortio'	siue	lexicalEntry:n00112.e02	
lexicogComponent:n00115.e02_comp	Cardoso’s subentry for 'abortio'	siue	lexicalEntry:n00115.e02	
lexicogComponent:n00189.e02_comp	Cardoso’s subentry for 'abundanter'	siue	lexicalEntry:n00189.e02	
lexicogComponent:n00265.e02_comp	Cardoso’s subentry for 'accliuis'	seu	lexicalEntry:n00265.e02	
lexicogComponent:n00294.e02_comp	Cardoso’s subentry for 'acesco'	siue	lexicalEntry:n00294.e02	
lexicogComponent:n00338.e02_comp	Cardoso’s subentry for 'acinum'	siue	lexicalEntry:n00338.e02	
lexicogComponent:n00448.e02_comp	Cardoso’s subentry for 'adhaeresco'	siue	lexicalEntry:n00448.e02	
lexicogComponent:n00492.e02_comp	Cardoso’s subentry for 'Adiutorium'	siue	lexicalEntry:n00492.e02	
lexicogComponent:n00509.e02_comp	Cardoso’s subentry for 'admirabilitas'	seu	lexicalEntry:n00509.e02	
lexicogComponent:n00525.e02_comp	Cardoso’s subentry for 'Admonitio'	siue	lexicalEntry:n00525.e02	
lexicogComponent:n00552.e02_comp	Cardoso’s subentry for 'adoptatiuus'	siue	lexicalEntry:n00552.e02	
lexicogComponent:n00557.e02_comp	Cardoso’s subentry for 'adoreola'	siue	lexicalEntry:n00557.e02	
lexicogComponent:n00689.e02_comp	Cardoso’s subentry for 'aequalitas'	siue	lexicalEntry:n00689.e02	
lexicogComponent:n00690.e02_comp	Cardoso’s subentry for 'aequabiliter'	siue	lexicalEntry:n00690.e02	
lexicogComponent:n00726.e02_comp	Cardoso’s subentry for 'aereus'	vel	lexicalEntry:n00726.e02	
