ontolex.Form	rdfs.label	lexinfo.note	ontolex.writtenRep	skos.note
lexicalForm:n00918.e01.f01	aequi bonique dicere		Aequi bonique dicere	
lexicalForm:n00919.e01.f01	aequi bonique facere		Aequi bonique facere	
lexicalForm:n01084.e01.f01	agesis		Agesis	Lucr. por Age si vis.
lexicalForm:n01157.e01.f01	ain		Ain	
lexicalForm:n03973.e01.f01	capsis		Capsis	
lexicalForm:n06202.e01.f01	confore (spero)		Confore (spero)	
lexicalForm:n07342.e01.f01	culest		Culest	
lexicalForm:n08728.e01.f01	dicis causa		Dicis causa	
lexicalForm:n08729.e01.f01	dicis gratia		Dicis gratia	
lexicalForm:n10230.e01.f01	eone		Eone	
lexicalForm:n10232.e01.f01	eoque		Eoque	
lexicalForm:n13954.e01.f01	illaec		Illaec	
lexicalForm:n13991.e01.f01	illic		Illic	
lexicalForm:n17999.e01.f01	mecum		Mecum	
lexicalForm:n18002.e01.f01	mederga		Mederga	
lexicalForm:n18323.e01.f01	min		Min	
lexicalForm:n19351.e01.f01	nobiscum		Nobiscum	
lexicalForm:n21729.e01.f01	pergin		Pergin	
lexicalForm:n23180.e01.f01	potin		Potin	
lexicalForm:n25024.e01.f01	quicum		Quicum	
lexicalForm:n26799.e01.f01	satin		Satin	
lexicalForm:n27165.e01.f01	secum		Secum	
lexicalForm:n27917.e01.f01	sis		Sis	
lexicalForm:n29309.e01.f01	sultis		Sultis	
lexicalForm:n29662.e01.f01	susque		Susque	
lexicalForm:n29907.e01.f01	tecum		Tecum	ablat.
lexicalForm:n29971.e01.f01	ten?		Ten?	
lexicalForm:n30965.e01.f01	tun		Tun	
lexicalForm:n31677.e01.f01	uiden?		Viden?	
lexicalForm:n31736.e01.f01	uin?		Vin?	
lexicalForm:n32118.e01.f01	uobiscum		Vobiscum	
