lexicog.LexicographicComponent	rdfs.label	lexinfo.note	lexicog.describes	skos.note
lexicogComponent:n00016.e02_comp	Fonseca’s subentry for 'Abderites'	&	lexicalEntry:n00016.e02	vel
lexicogComponent:n00351.e02_comp	Fonseca’s subentry for '[Aceris]'	ou	lexicalEntry:n00351.e02	
lexicogComponent:n00432.e02_comp	Fonseca’s subentry for '[Acui]'	ou	lexicalEntry:n00432.e02	
lexicogComponent:n00432.e03_comp	Fonseca’s subentry for '[Acui]'	ou	lexicalEntry:n00432.e03	
lexicogComponent:n00497.e02_comp	Fonseca’s subentry for 'Addicti'		lexicalEntry:n00497.e02	
lexicogComponent:n00827.e02_comp	Fonseca’s subentry for '[Adultus]'		lexicalEntry:n00827.e02	
lexicogComponent:n01030.e02_comp	Fonseca’s subentry for '[Affictus]'		lexicalEntry:n01030.e02	
lexicogComponent:n01199.e02_comp	Fonseca’s subentry for 'Alce'	l.	lexicalEntry:n01199.e02	
lexicogComponent:n01280.e02_comp	Fonseca’s subentry for 'Alid'		lexicalEntry:n01280.e02	
lexicogComponent:n01403.e02_comp	Fonseca’s subentry for 'Alucinor'	&	lexicalEntry:n01403.e02	
lexicogComponent:n01626.e02_comp	Fonseca’s subentry for '[An]'	e	lexicalEntry:n01626.e02	
lexicogComponent:n01639.e02_comp	Fonseca’s subentry for 'Analectes'	&	lexicalEntry:n01639.e02	
lexicogComponent:n01931.e02_comp			lexicalEntry:n01931.e02	
lexicogComponent:n01978.e02_comp	Fonseca’s subentry for 'Aplustria'	l.	lexicalEntry:n01978.e02	
lexicogComponent:n02361.e02_comp	Fonseca’s subentry for 'Armillum'	&	lexicalEntry:n02361.e02	
lexicogComponent:n02414.e02_comp	Fonseca’s subentry for 'Arthriticus'	l.	lexicalEntry:n02414.e02	
lexicogComponent:n02442.e02_comp	Fonseca’s subentry for '[Arui]'	ou	lexicalEntry:n02442.e02	
lexicogComponent:n02685.e02_comp	Fonseca’s subentry for 'At at'		lexicalEntry:n02685.e02	
lexicogComponent:n02878.e02_comp	Fonseca’s subentry for '[Avia]'		lexicalEntry:n02878.e02	
lexicogComponent:n02888.e02_comp	Fonseca’s subentry for '[Aula]'		lexicalEntry:n02888.e02	
lexicogComponent:n02995.e02_comp	Fonseca’s subentry for '[Axis]'		lexicalEntry:n02995.e02	
lexicogComponent:n02995.e03_comp	Fonseca’s subentry for '[Axis]'		lexicalEntry:n02995.e03	
