lexicog.Entry	rdfs.label	lexinfo.note	lexicog.describes	lexicog.subComponent	skos.note
lexicogEntry:n00001	Fonseca’s entry for 'Ab'		lexicalEntry:n00001.e01		
lexicogEntry:n00002	Fonseca’s entry for 'Abactor'		lexicalEntry:n00002.e01		
lexicogEntry:n00003	Fonseca’s entry for 'Abactus'		lexicalEntry:n00003.e01		
lexicogEntry:n00004	Fonseca’s entry for 'Abactus'		lexicalEntry:n00004.e01		
lexicogEntry:n00005	Fonseca’s entry for 'Abaculi'		lexicalEntry:n00005.e01		
lexicogEntry:n00006	Fonseca’s entry for 'Abacus'		lexicalEntry:n00006.e01		
lexicogEntry:n00007	Fonseca’s entry for 'Abagio'		lexicalEntry:n00007.e01		
lexicogEntry:n00008	Fonseca’s entry for 'Abalienatio'		lexicalEntry:n00008.e01		
lexicogEntry:n00009	Fonseca’s entry for 'Abalienatus'		lexicalEntry:n00009.e01		
lexicogEntry:n00010	Fonseca’s entry for 'Abalieno'		lexicalEntry:n00010.e01		
lexicogEntry:n00011	Fonseca’s entry for 'Abamita'		lexicalEntry:n00011.e01		
lexicogEntry:n00012	Fonseca’s entry for 'Abavia'		lexicalEntry:n00012.e01		
lexicogEntry:n00013	Fonseca’s entry for 'Abavunculus'		lexicalEntry:n00013.e01		
lexicogEntry:n00014	Fonseca’s entry for 'Abavus'		lexicalEntry:n00014.e01		
lexicogEntry:n00015	Fonseca’s entry for 'Abbrevio'		lexicalEntry:n00015.e01		
lexicogEntry:n00016	Fonseca’s entry for 'Abderita'		lexicalEntry:n00016.e01	lexicogComponent:n00016.e02_comp	
lexicogEntry:n00017	Fonseca’s entry for 'Abderitanus'		lexicalEntry:n00017.e01		&
lexicogEntry:n00018	Fonseca’s entry for 'Abderiticus'		lexicalEntry:n00018.e01		
lexicogEntry:n00019	Fonseca’s entry for 'Abdicatio'		lexicalEntry:n00019.e01		
lexicogEntry:n00020	Fonseca’s entry for 'Abdicatus'		lexicalEntry:n00020.e01		
lexicogEntry:n00021	Fonseca’s entry for 'Abdico'		lexicalEntry:n00021.e01		
lexicogEntry:n00022	Fonseca’s entry for 'Abdico'		lexicalEntry:n00022.e01		
lexicogEntry:n00023	Fonseca’s entry for 'Abdidi'		lexicalEntry:n00023.e01		
lexicogEntry:n00024	Fonseca’s entry for 'Abdite'		lexicalEntry:n00024.e01		
lexicogEntry:n00025	Fonseca’s entry for 'Abditivus'		lexicalEntry:n00025.e01		
lexicogEntry:n00026	Fonseca’s entry for 'Abditum'		lexicalEntry:n00026.e01		
lexicogEntry:n00027	Fonseca’s entry for 'Abditus'		lexicalEntry:n00027.e01		
lexicogEntry:n00028	Fonseca’s entry for 'Abdixi'		lexicalEntry:n00028.e01		
lexicogEntry:n00029	Fonseca’s entry for 'Abdo'		lexicalEntry:n00029.e01		
lexicogEntry:n00030	Fonseca’s entry for 'Abdomen'		lexicalEntry:n00030.e01		
lexicogEntry:n00031	Fonseca’s entry for 'Abduco'		lexicalEntry:n00031.e01		
lexicogEntry:n00032	Fonseca’s entry for 'Abductus'		lexicalEntry:n00032.e01		
lexicogEntry:n00033	Fonseca’s entry for 'Abduxi'		lexicalEntry:n00033.e01		
lexicogEntry:n00034	Fonseca’s entry for 'Abeat'		lexicalEntry:n00034.e01		
lexicogEntry:n00035	Fonseca’s entry for 'Abedo'		lexicalEntry:n00035.e01		
lexicogEntry:n00036	Fonseca’s entry for 'Abellinae'		lexicalEntry:n00036.e01		
lexicogEntry:n00037	Fonseca’s entry for 'Abeo'		lexicalEntry:n00037.e01		
lexicogEntry:n00038	Fonseca’s entry for 'Abequito'		lexicalEntry:n00038.e01		
lexicogEntry:n00039	Fonseca’s entry for 'Aberratio'		lexicalEntry:n00039.e01		
lexicogEntry:n00040	Fonseca’s entry for 'Aberro'		lexicalEntry:n00040.e01		
lexicogEntry:n00041	Fonseca’s entry for 'Abesse'		lexicalEntry:n00041.e01		
lexicogEntry:n00042	Fonseca’s entry for 'Abeuntis'		lexicalEntry:n00042.e01		
lexicogEntry:n00043	Fonseca’s entry for 'Abfore'		lexicalEntry:n00043.e01		
lexicogEntry:n00044	Fonseca’s entry for 'Abfui'		lexicalEntry:n00044.e01		
lexicogEntry:n00045	Fonseca’s entry for 'Abhiemat'		lexicalEntry:n00045.e01		
lexicogEntry:n00046	Fonseca’s entry for 'Abhinc'		lexicalEntry:n00046.e01		
lexicogEntry:n00047	Fonseca’s entry for 'Abhorreo'		lexicalEntry:n00047.e01		
lexicogEntry:n00048	Fonseca’s entry for 'Abjecte'		lexicalEntry:n00048.e01		
lexicogEntry:n00049	Fonseca’s entry for 'Abjectio'		lexicalEntry:n00049.e01		
lexicogEntry:n00050	Fonseca’s entry for 'Abjectus'		lexicalEntry:n00050.e01		
lexicogEntry:n00051	Fonseca’s entry for 'Abiegnus'		lexicalEntry:n00051.e01		
lexicogEntry:n00052	Fonseca’s entry for 'Abiens'		lexicalEntry:n00052.e01		
lexicogEntry:n00053	Fonseca’s entry for 'Abies'		lexicalEntry:n00053.e01		
lexicogEntry:n00054	Fonseca’s entry for 'Abietinus'		lexicalEntry:n00054.e01		
lexicogEntry:n00055	Fonseca’s entry for 'Abiga'		lexicalEntry:n00055.e01		
lexicogEntry:n00056	Fonseca’s entry for 'Abigeator'		lexicalEntry:n00056.e01		
lexicogEntry:n00057	Fonseca’s entry for 'Abigeatus'		lexicalEntry:n00057.e01		
lexicogEntry:n00058	Fonseca’s entry for 'Abigeus'		lexicalEntry:n00058.e01		
lexicogEntry:n00059	Fonseca’s entry for 'Abigo'		lexicalEntry:n00059.e01		
lexicogEntry:n00060	Fonseca’s entry for 'Abii'		lexicalEntry:n00060.e01		
lexicogEntry:n00061	Fonseca’s entry for 'Abjicio'		lexicalEntry:n00061.e01		
lexicogEntry:n00062	Fonseca’s entry for 'Abitio'		lexicalEntry:n00062.e01		
lexicogEntry:n00063	Fonseca’s entry for 'Abito'		lexicalEntry:n00063.e01		
lexicogEntry:n00064	Fonseca’s entry for 'Abitus'		lexicalEntry:n00064.e01		
lexicogEntry:n00065	Fonseca’s entry for 'Abitur'		lexicalEntry:n00065.e01		
lexicogEntry:n00066	Fonseca’s entry for 'Abjudicatus'		lexicalEntry:n00066.e01		
lexicogEntry:n00067	Fonseca’s entry for 'Abjudico'		lexicalEntry:n00067.e01		
lexicogEntry:n00068	Fonseca’s entry for 'Abjugo'		lexicalEntry:n00068.e01		&
lexicogEntry:n00069	Fonseca’s entry for 'Abjungo'		lexicalEntry:n00069.e01		
lexicogEntry:n00070	Fonseca’s entry for 'Abjunctus'		lexicalEntry:n00070.e01		
lexicogEntry:n00071	Fonseca’s entry for 'Abjurasso'		lexicalEntry:n00071.e01		
lexicogEntry:n00072	Fonseca’s entry for 'Abjuratus'		lexicalEntry:n00072.e01		
lexicogEntry:n00073	Fonseca’s entry for 'Abjuro'		lexicalEntry:n00073.e01		
lexicogEntry:n00074	Fonseca’s entry for 'Ablaqueatio'		lexicalEntry:n00074.e01		
lexicogEntry:n00075	Fonseca’s entry for 'Ablaqueatus'		lexicalEntry:n00075.e01		
lexicogEntry:n00076	Fonseca’s entry for 'Ablaqueo'		lexicalEntry:n00076.e01		
lexicogEntry:n00077	Fonseca’s entry for 'Ablativus'		lexicalEntry:n00077.e01		
lexicogEntry:n00078	Fonseca’s entry for 'Ablatus'		lexicalEntry:n00078.e01		
lexicogEntry:n00079	Fonseca’s entry for 'Ablectus'		lexicalEntry:n00079.e01		
lexicogEntry:n00080	Fonseca’s entry for 'Ablegatio'		lexicalEntry:n00080.e01		
lexicogEntry:n00081	Fonseca’s entry for 'Ablegatus'		lexicalEntry:n00081.e01		
lexicogEntry:n00082	Fonseca’s entry for 'Ablego'		lexicalEntry:n00082.e01		
lexicogEntry:n00083	Fonseca’s entry for 'Abligurio'		lexicalEntry:n00083.e01		
lexicogEntry:n00084	Fonseca’s entry for 'Abloco'		lexicalEntry:n00084.e01		
lexicogEntry:n00085	Fonseca’s entry for 'Abludo'		lexicalEntry:n00085.e01		
lexicogEntry:n00086	Fonseca’s entry for 'Abluo'		lexicalEntry:n00086.e01		
lexicogEntry:n00087	Fonseca’s entry for 'Ablusi'		lexicalEntry:n00087.e01		
lexicogEntry:n00088	Fonseca’s entry for 'Ablutio'		lexicalEntry:n00088.e01		
lexicogEntry:n00089	Fonseca’s entry for 'Ablutus'		lexicalEntry:n00089.e01		
lexicogEntry:n00090	Fonseca’s entry for 'Abluvium'		lexicalEntry:n00090.e01		
lexicogEntry:n00091	Fonseca’s entry for 'Abmatertera'		lexicalEntry:n00091.e01		
lexicogEntry:n00092	Fonseca’s entry for 'Abmitto'		lexicalEntry:n00092.e01		
lexicogEntry:n00093	Fonseca’s entry for 'Abnato'		lexicalEntry:n00093.e01		
lexicogEntry:n00094	Fonseca’s entry for 'Abneco'		lexicalEntry:n00094.e01		
lexicogEntry:n00095	Fonseca’s entry for 'Abnego'		lexicalEntry:n00095.e01		
lexicogEntry:n00096	Fonseca’s entry for 'Abnepos'		lexicalEntry:n00096.e01		
lexicogEntry:n00097	Fonseca’s entry for 'Abneptis'		lexicalEntry:n00097.e01		
lexicogEntry:n00098	Fonseca’s entry for 'Abnocto'		lexicalEntry:n00098.e01		
lexicogEntry:n00099	Fonseca’s entry for 'Abnodatus'		lexicalEntry:n00099.e01		
lexicogEntry:n00100	Fonseca’s entry for 'Abnodo'		lexicalEntry:n00100.e01		
lexicogEntry:n00101	Fonseca’s entry for 'Abnormis'		lexicalEntry:n00101.e01		
