lexicog.UsageExample	lexinfo.note	rdfs.label	rdfs.value.la	rdfs.value.pt	skos.note
usageExample:n00059.sg01.s99.u01	Cic.	abigere pecus	 Abigere pecus 	 Roubar gado , ou furtallo com engano 	
usageExample:n00059.sg01.s99.u02	Varr.	abigere greges ouium	 Abigere greges ovium 	 Pastorear , ou conduzir rebanhos de ovelhas 	
usageExample:n00061.sg01.s99.u01	Cic.	abiicere uersum	 Abjicere versum 	 Recitar algum verso froxa e desengraçadamente 	
usageExample:n00067.sg01.s99.u01	Plaut.	abiudicabo me uita	 Abjudicabo me vita 	 Matar - me - hei 	
usageExample:n00086.sg01.s99.u01	Lucr.	sitis abluitur	 Sitis abluitur 	 Apaga - se a sede 	
usageExample:n00104.sg01.s99.u01	Tac.	ex euentu rerum aduersa abnuere	 Ex eventu rerum adversa abnuere 	 Mostrar - se pelos effeitos não ter a menor culpa na adversidade 	
usageExample:n00104.sg01.s99.u02	Tac.	abnuit locus impetus & subita belli	 Abnuit locus impetus & subita belli 	 Não soffre o sitio que de subito se ataquem os inimigos 	
usageExample:n00107.sg01.s99.u01	Virg.	abolere aliquid undis	 Abolere aliquid undis 	 Lavar alguma cousa 	
usageExample:n00118.sg01.s99.u01	Lucr.	aboritur uox	 Aboritur vox 	 A voz falta , ou se soffoca 	
usageExample:n00132.sg01.s99.u01	Plaut.	abripere repente sese subito	 Abripere repente sese subito 	 Desaparecer , retirar - se a toda a pressa 	
usageExample:n00136.sg01.s99.u01	Sen. Tr.	nemo nocens sibi ipse poenas abrogat	 Nemo nocens sibi ipse poenas abrogat 	 Nenhum culpado se tem quanto a si por absoluto do castigo 	
usageExample:n00143.sg01.s99.u01	Justin.	non abrupte agendum	 Non abrupte agendum 	 Não se ha de obrar inconsiderada ou desacauteladamente 	
usageExample:n00146.sg01.s99.u01	Sil. Ital.	abruptum ingenium	 Abruptum ingenium 	 Condição ou natural arrebatado , e por extremo activo 	
usageExample:n00146.sg01.s99.u02	Quinct.	abruptum dicendi genus	 Abruptum dicendi genus 	 Estilo conciso 	
usageExample:n00146.sg01.s99.u03	Ulp.	abruptum lucrum	 Abruptum lucrum 	 Ganho inesperado 	
usageExample:n00146.sg01.s99.u04	Quinct.	abruptum initium	 Abruptum initium 	 Exordio precipitado , onde logo se movem affectos . 	
usageExample:n00146.sg01.s99.u05	Quinct.	abruptum principium	 Abruptum principium 	 Exordio precipitado , onde logo se movem affectos 	
usageExample:n00157.sg01.s99.u01	Val. Max.	iustitia abscisior	 Justitia abscisior 	 Justiça mais severa ou rigorosa . 	
usageExample:n00157.sg01.s99.u02	Val. Max.	iustitia abscissior	 Justitia abscissior 	 Justiça mais severa ou rigorosa 	
usageExample:n00157.sg01.s99.u03	Val. Max.	absciso responso	 Absciso responso 	 Atalhada ou embaraçada a resposta 	
usageExample:n00165.sg01.s99.u01	Plaut. Ter.	absente nobis	 Absente nobis 		por Absentibus nobis. Locução figurada e antiga.
usageExample:n00177.sg01.s99.u01	Ter. Plaut.	absoluere aliquem	 Absolvere aliquem 	 Despedir alguem de si , pagando - lhe alguma divida 	
usageExample:n00206.sg01.s99.u01	Tac.	abstrusus homo	 Abstrusus homo 	 Homem de inviolavel segredo 	
usageExample:n00212.sg01.s99.u01	Liv.	absumi fame	 Absumi fame 	 Morrer á fome 	
usageExample:n00212.sg01.s99.u02	Ter.	absumi cura & sumptu	 Absumi cura & sumptu 	 Ser opprimido de cuidados e despezas 	
usageExample:n00212.sg01.s99.u03	Plaut.	absumpti sumus	 Absumpti sumus 	 De todo estamos perdidos 	
usageExample:n00219.sg01.s99.u01	Quinct.	ex abundanti	 Ex abundanti 	 Superabundantemente , de sobejo 	
usageExample:n00224.sg01.s99.u01	Plin.	abundat fons in omnem partem	 Abundat fons in omnem partem 	 Por todas as partes trasborda a fonte 	
usageExample:n00224.sg01.s99.u02	Cic.	si quando abundare coepero	 Si quando abundare coepero 	 Se alguma vez chegar a ser rico 	
usageExample:n00231.sg01.s99.u01	Ter.	operam abuti in prologis scribundis	 Operam abuti in prologis scribundis 	 Empregar - se em compôr prologos 	
usageExample:n00231.sg01.s99.u02	Plaut.	abuti rem patriam	 Abuti rem patriam 	 Devorar , desperdiçar o patrimonio 	De commum se lhe ajunta ablat.
usageExample:n00241.sg01.s99.u01	Lemma. Mart.	acapna ligna	 Acapna ligna 	 Páos , que não lanção fumo quando ardem 	
usageExample:n00260.sg01.s99.u01	Cic.	accepti & expensi tabulae	 Accepti & expensi tabulae 	 Livro de receita e despeza 	
usageExample:n00265.sg01.s99.u01	Cic.	accessio nummorum	 Accessio nummorum 	 Accrescimo de lucros ou juros ao capital 	
usageExample:n00269.sg01.s99.u01	Cic.	accessus & recessus maris	 Accessus & recessus maris 	 Fluxo e refluxo do mar , ou enchente e vasante da maré 	
usageExample:n00277.sg01.s99.u01	Virg.	accingere se alicui rei	 Accingere se alicui rei 	 Aparelhar - se , pôr - se prestes para alguma cousa . 	
usageExample:n00277.sg01.s99.u02	Liv.	accingere se ad aliquam rem	 Accingere se ad aliquam rem 	 Aparelhar - se , pôr - se prestes para alguma cousa 	
usageExample:n00277.sg01.s99.u03	Virg.	accingar dicere pugnas caesaris	 Accingar dicere pugnas Caesaris 	 Emprehenderei escrever as batalhas de Cesar 	
usageExample:n00280.sg01.s99.u01	Plaut.	accipiter pecuniarum	 Accipiter pecuniarum 	 O ladrão 	
usageExample:n00314.sg01.s99.u01	Plaut.	ire accubitum	 Ire accubitum 	 Ir para a meza 	
usageExample:n00314.sg01.s99.u02	Plaut.	accubare regie	 Accubare regie 	 Comer esplendidamente 	
usageExample:n00314.sg01.s99.u03	Suet.	theatrum trapeio monti accubans	 Theatrum Trapeio monti accubans 	 Theatro vizinho ou contiguo ao monte Tarpeio 	
usageExample:n00317.sg01.s99.u01	Virg.	epulis accumbere diuum	 Epulis accumbere Divum 	 Comer á meza dos Deoses 	
usageExample:n00350.sg01.s99.u01	Virg.	funus acerbum	 Funus acerbum 	 Morte intempestiva 	
usageExample:n00361.sg01.s99.u01	Cic.	aceruus facinorum	 Acervus facinorum 	 Multidão de delictos 	
usageExample:n00377.sg01.s99.u01	Sen.	homo acidae linguae & nimis liber	 Homo acidae linguae & nimis liber 	 Homem satyrico e por extremo solto em fallar 	
usageExample:n00397.sg01.s99.u01	C. Nep.	acquieuit	 Acquievit 	 Morreo 	
usageExample:n00415.sg01.s99.u01	Tac.	diurna urbis acta	 Diurna urbis acta 	 Gazeta da Corte 	
usageExample:n00415.sg01.s99.u02	Lucan. ad. Pison.	acta forensia	 Acta forensia 	 Autos judiciaes , feitos , causas , processos 	
usageExample:n00415.sg01.s99.u03	Ovid.	acta condere	 Acta condere 	 Escrever a historia 	
usageExample:n00426.sg01.s99.u01	Sall.	actuaria nauigia	 Actuaria navigia 	 Navios ligeiros , que vão á véla , e a remos 	
usageExample:n00429.sg01.s99.u01	Varr.	actus quadratus	 Actus quadratus 	 Medida de campo de cento e vinte pés em quadro 	
usageExample:n00429.sg01.s99.u02	Col.	actus minimus	 Actus minimus 	 Medida de campo de cento e vinte pé de comprimento , e quatro de largura 	
usageExample:n00435.sg01.s99.u01	Liv.	aculeus fagittae	 Aculeus fagittae 	 Ponta da setta 	
usageExample:n00438.sg01.s99.u01	Quinct.	acuere syllabam	 Acuere syllabam 	 Pôr accento agudo sobre a syllaba 	
usageExample:n00441.sg01.s99.u01	Virg.	acu pingere	 Acu pingere 	 Bordar 	
usageExample:n00449.sg01.s99.u01	Virg.	uulnus alte adactum	 Vulnus alte adactum 	 Ferida penetrante 	
usageExample:n00450.sg01.s99.u01	Lucret.	dentis adactus	 Dentis adactus 	 Mordedura 	
usageExample:n00469.sg01.s99.u01	Sen.	adaperire caput	 Adaperire caput 	 Tirar o chapéo 	
usageExample:n00485.sg01.s99.u01	Plaut.	si adbites propius, os denafabit tibi mordicus	 Si adbites propius , os denafabit tibi mordicus 	 Se te approximas mais , te arrancará o nariz ás dentadas 	
usageExample:n00501.sg01.s99.u01	Virg.	troianis addita iuno	 Troianis addita Juno 	 Juno inimiga dos Troianos 	
usageExample:n00503.sg01.s99.u01	Hor.	addere cornua pauperi	 Addere cornua pauperi 	 Fazer o pobre atrevido 	
usageExample:n00503.sg01.s99.u02	Ovid.	addere annos duos ad duo lustra	 Addere annos duos ad duo lustra 	 Ter doze annos 	
usageExample:n00509.sg01.s99.u01	Cic.	adduci in sermonem	 Adduci in sermonem 	 Dar que fallar de si 	
usageExample:n00512.sg01.s99.u01	Plin.	uis dicendi adductior	 Vis dicendi adductior 	 Estilo mais conciso 	
usageExample:n00512.sg01.s99.u02	Tac.	homo adductus	 Homo adductus 	 Homem severo 	
usageExample:n00522.sg01.s99.u01	Cic.	adire haereditatem	 Adire haereditatem 	 Apossar - se da herança 	
usageExample:n00523.sg01.s99.u01	Cic.	pericula adeuntur	 Pericula adeuntur 	 Empreendem - se perigos 	
usageExample:n00541.sg01.s99.u01	Virg.	utinam rex adforet	 Utinam rex adforet 	 Prouvera a Deos que o Rei se achasse aqui presente 	
usageExample:n00565.sg01.s99.u01	Ovid.	adhibe huc uultus	 Adhibe huc vultus 	 Olha para aqui , ou volta para aqui o rostro 	
usageExample:n00565.sg01.s99.u02	Cic.	adhibe te in consilium	 Adhibe te in consilium 	 Aconselha - te comtigo mesmo 	
usageExample:n00567.sg01.s99.u01	Cic.	adhinnire ad orationem alicuius	 Adhinnire ad orationem alicujus 	 Folgar rindo ou gritando desconcertadamente ouvindo algum discurso 	
usageExample:n00593.sg01.s03.u01	Plaut.	non aetate, uerum ingenio adipiscitur sapientia	 Non aetate , verum ingenio adipiscitur sapientia 	 Pelo talento , e não pela idade he que se adquire a sabedoria 	
usageExample:n00596.sg01.s99.u01	Cic.	aditus aedium	 Aditus aedium 	 Porta ou entrada das casas 	
usageExample:n00601.sg01.s99.u01	Plin.	adiugare palmites	 Adjugare palmites 	 Empar as vides 	
usageExample:n00607.sg01.s99.u01	Cic.	adiungere sibi auxilium	 Adjungere sibi auxilium 	 Alcançar para si socorro 	
usageExample:n00650.sg01.s99.u01	Cic.	admissarius homo	 Admissarius homo 	 Homem muito lascivo 	
usageExample:n00656.sg01.s99.u01	Liv.	admittere equum in aliquem	 Admittere equum in aliquem 	 Arremessar o cavallo ou correr á redea solta contra alguem 	
usageExample:n00660.sg01.s99.u01	Plaut.	nequeo me risa admorerari	 Nequeo me risa admorerari 	 Não posso suster o riso 	
usageExample:n00670.sg01.s99.u01	Plaut.	admordere aliquem	 Admordere aliquem 	 Pilhar alguma cousa a alguem 	
usageExample:n00707.sg01.s99.u01	Virg.	adolescunt ignibus arae	 Adolescunt ignibus arae 	 Os altares fumão com o fogo dos sacrificios 	
usageExample:n00724.sg01.s99.u01	Ter.	adoriri aliquem	 Adoriri aliquem 	 Abalroar com alguem para lhe faltar 	
usageExample:n00748.sg01.s99.u01	Cic.	asciscere ciuem	 Asciscere civem 	 Dar o privilegio de Cidadão 	
usageExample:n00800.sg01.s99.u01	Plaut.	animo aduersaui sedulo	 Animo adversavi sedulo 	 Considerei com madureza 	
usageExample:n00811.sg01.s99.u01	Cic.	adulatio canum	 Adulatio canum 	 Festa , que fazem os cães 	
usageExample:n00842.sg01.s99.u01	Liv.	aduolutus genibus alicuius	 Advolutus genibus alicujus 	 Prostrado aos pés de alguem 	
usageExample:n00917.sg01.s99.u01	Cic.	aeque ac	 Aeque ac 	 Tanto como , igualmente que . 	
usageExample:n00917.sg01.s99.u02	Cic.	aeque et	 Aeque et 	 Tanto como , igualmente que . 	
usageExample:n00917.sg01.s99.u03	Cic.	aeque atque	 Aeque atque 	 Tanto como , igualmente que . 	
usageExample:n00917.sg01.s99.u04	Cic.	aeque ut	 Aeque ut 	 Tanto como , igualmente que . 	
usageExample:n00917.sg01.s99.u05	Plaut.	aeque quam	 Aeque quam 	 Tanto como , igualmente que 	
usageExample:n00917.sg01.s99.u06	Cic.	aeque ac si	 Aeque ac si 	 Como se 	
usageExample:n00933.sg01.s99.u01	Virg.	aequare ludum nocti	 Aequare ludum nocti 	 Passar toda a noite a jogar 	
usageExample:n00933.sg01.s99.u02	Liv.	aequare aliquid solo	 Aequare aliquid solo 	 Arrazar alguma cousa 	
usageExample:n00933.sg01.s99.u03	Virg.	aequare labores lacrimis	 Aequare labores lacrimis 	 Chorar dignamente os trabalhos 	
usageExample:n00935.sg01.s99.u01	Virg.	genus aequoreum	 Genus aequoreum 	 Peixes 	
usageExample:n00935.sg01.s99.u02	Sen. Tr.	aequoreum uulgus	 Aequoreum vulgus 	 Todo o genero de monstros marinhos 	
usageExample:n00935.sg01.s99.u03	Ovid.	britani aequorei	 Britani aequorei 	 Inglezes rodeados do mar , ou dados à navegação 	
