ontolex.LexicalSense	lexicog.usageExample	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.la	rdfs.label.pt	skos.definition.la	skos.definition.pt	skos.note
lexicalSense:n0001.sg01.s02	usageExample:n0001.sg01.s02.u01, usageExample:n0001.sg01.s02.u02, usageExample:n0001.sg01.s02.u03, usageExample:n0001.sg01.s02.u04, usageExample:n0001.sg01.s02.u05	Interdum ponitur A			pro Post		 pro Post 		
lexicalSense:n0001.sg01.s03	usageExample:n0001.sg01.s03.u01	Quandoque ponitur Ab			pro Praeter		 pro Praeter , sive Contra 		
lexicalSense:n0001.sg01.s04	usageExample:n0001.sg01.s04.u01, usageExample:n0001.sg01.s04.u02, usageExample:n0001.sg01.s04.u03	A, praeposita nominibus officiorum, & dignitatum			eos significat		 eos significat , qui iis officiis , vel dignitatibus funguntur 		
lexicalSense:n0001.sg01.s05	usageExample:n0001.sg01.s05.u01	A, vel Ab, cum ablativo personae			eleganter domicilium ejusdem personae significat		 eleganter domicilium ejusdem personae significat 		
lexicalSense:n0001.sg01.s99	usageExample:n0001.sg01.s99.u01, usageExample:n0001.sg01.s99.u02, usageExample:n0001.sg01.s99.u03		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0002.sg01.s01	usageExample:n0002.sg01.s01.u01					alienar		 alienar , ou apartar 	
lexicalSense:n0002.sg01.s99	usageExample:n0002.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0003.sg01.s01						Perseo		 Perseo , Bisneto de Abante , Rey de Grecia 	
lexicalSense:n0004.sg01.s01					Vasorum repositorium	copa	 Vasorum repositorium 	 copa , ou mesa , em que se poem a baixela , ou taboa para escrever , ou contar 	
lexicalSense:n0005.sg01.s01	usageExample:n0005.sg01.s01.u01, usageExample:n0005.sg01.s01.u02					privar		 privar , ou depor 	
lexicalSense:n0006.sg01.s01						a gordura do ventre		 a gordura do ventre , ou golodice , unto , ou enxundia 	
lexicalSense:n0006.sg01.s99	usageExample:n0006.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0007.sg01.s01	usageExample:n0007.sg01.s01.u01					apartar		 apartar 	
lexicalSense:n0008.sg01.s01						filho segundo de Adam		 filho segundo de Adam 	
lexicalSense:n0009.sg01.s01						irse		 irse 	
lexicalSense:n0009.sg01.s99	usageExample:n0009.sg01.s99.u01, usageExample:n0009.sg01.s99.u02, usageExample:n0009.sg01.s99.u03		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0010.sg01.s99	usageExample:n0010.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0011.sg01.s01						cousa baixa		 cousa baixa , vil , ou desprezada , affligida , ou desmayada 	
lexicalSense:n0012.sg01.s01						huma arvore semelhante ao pinheiro negro		 huma arvore semelhante ao pinheiro negro 	
lexicalSense:n0013.sg01.s01						mulher de Nabal		 mulher de Nabal 	Postea Davidis uxor.
lexicalSense:n0014.sg01.s01						hum Rey de Gerara		 hum Rey de Gerara , Metropoli da terra de Palestina 	
lexicalSense:n0014.sg01.s02						(foy tambem nome commum dos Reys de Palestina.)		 ( foy tambem nome commum dos Reys de Palestina . ) 	
lexicalSense:n0015.sg01.s01						hum homem Hebreo		 hum homem Hebreo , irmaõ de Joab 	
lexicalSense:n0016.sg01.s01						gastar a fazenda em golodices		 gastar a fazenda em golodices 	
lexicalSense:n0017.sg01.s01						lavar		 lavar , purificar 	Activum.
lexicalSense:n0018.sg01.s01	usageExample:n0018.sg01.s01.u01					apagar		 apagar , ou tirar 	
lexicalSense:n0018.sg01.s02		aboleo			pro abluo		 pro abluo , seu lavo 		Virg. Georg. 4.
lexicalSense:n0019.sg01.s01						apagar se		 apagar se , desacostumar se 	Neutr. absolut.
lexicalSense:n0020.sg01.s01						abominar		 abominar , estranhar , ou detestar , agourando 	
lexicalSense:n0021.sg01.s01						raspar		 raspar , ou tirar por força , ou por engano 	
lexicalSense:n0021.sg01.s99	usageExample:n0021.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0022.sg01.s01						Abraham		 Abraham , primeiro Patriarcha dos Hebreos 	
lexicalSense:n0023.sg01.s01						arrebatar		 arrebatar , ou tirar por força 	
lexicalSense:n0023.sg01.s99	usageExample:n0023.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0024.sg01.s01						a herva lombrigueira		 a herva lombrigueira 	
lexicalSense:n0025.sg01.s01	usageExample:n0025.sg01.s01.u01, usageExample:n0025.sg01.s01.u02					de		 de 	
lexicalSense:n0026.sg01.s01						cortar		 cortar , rasgar 	
lexicalSense:n0027.sg01.s01						esconder		 esconder 	Activum.
lexicalSense:n0028.sg01.s01						absolver		 absolver , desatar , acabar , ou aperfeiçoar 	
lexicalSense:n0028.sg01.s99	usageExample:n0028.sg01.s99.u01, usageExample:n0028.sg01.s99.u02, usageExample:n0028.sg01.s99.u03, usageExample:n0028.sg01.s99.u04, usageExample:n0028.sg01.s99.u05		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0029.sg01.s01	usageExample:n0029.sg01.s01.u01					cousa mal soante		 cousa mal soante , desconcordante 	
lexicalSense:n0030.sg01.s01						sorver		 sorver , ou consumir 	
lexicalSense:n0030.sg01.s99	usageExample:n0030.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0031.sg01.s01	usageExample:n0031.sg01.s01.u01					sem		 sem 	
lexicalSense:n0032.sg01.s01	usageExample:n0032.sg01.s01.u01					cousa		 cousa , que naõ bebe vinho 	
