lexicog.LexicographicComponent	rdfs.label	lexinfo.note	lexicog.describes	skos.note
lexicogComponent:n0024.e02_comp	Velez’s subentry for 'abrotonus'		lexicalEntry:n0024.e02	
lexicogComponent:n0039.e02_comp	Velez’s subentry for 'Abydum'	vel	lexicalEntry:n0039.e02	
lexicogComponent:n0043.e02_comp	Velez’s subentry for 'acantha'	vel	lexicalEntry:n0043.e02	
lexicogComponent:n0043.e10_comp	Velez’s subentry for '[Acanthus]'		lexicalEntry:n0043.e10	
lexicogComponent:n0059.e02_comp	Velez’s subentry for 'accumbo'		lexicalEntry:n0059.e02	
lexicogComponent:n0067.e02_comp	Velez’s subentry for 'Achilleus'	sive	lexicalEntry:n0067.e02	
lexicogComponent:n0071.e02_comp	Velez’s subentry for 'acinum'		lexicalEntry:n0071.e02	
lexicogComponent:n0074.e02_comp	Velez’s subentry for 'Agragas'	sive	lexicalEntry:n0074.e02	
lexicogComponent:n0084.e02_comp	Velez’s subentry for 'adagio'		lexicalEntry:n0084.e02	
lexicogComponent:n0085.e02_comp	Velez’s subentry for 'Adamus'		lexicalEntry:n0085.e02	
lexicogComponent:n0109.e02_comp	Velez’s subentry for 'admonitum'		lexicalEntry:n0109.e02	
lexicogComponent:n0109.e03_comp	Velez’s subentry for 'admonitio'		lexicalEntry:n0109.e03	
lexicogComponent:n0117.e10_comp	Velez’s subentry for '[Adolescens]'		lexicalEntry:n0117.e10	
lexicogComponent:n0135.e10_comp	Velez’s subentry for 'Adversaria'		lexicalEntry:n0135.e10	
lexicogComponent:n0151.e02_comp	Velez’s subentry for 'Aeetis'	vel	lexicalEntry:n0151.e02	
lexicogComponent:n0176.e10_comp	Velez’s subentry for 'Sempiternus'	unde	lexicalEntry:n0176.e10	
lexicogComponent:n0176.e20_comp	Velez’s subentry for 'Aeternùm'	&	lexicalEntry:n0176.e20	
lexicogComponent:n0176.e21_comp	Velez’s subentry for 'Aeternò'	vel	lexicalEntry:n0176.e21	
lexicogComponent:n0178.e10_comp	Velez’s subentry for 'Aethiopes'		lexicalEntry:n0178.e10	
lexicogComponent:n0180.e02_comp	Velez’s subentry for 'affectus'		lexicalEntry:n0180.e02	
lexicogComponent:n0182.e10_comp	Velez’s subentry for 'Afficior'	Hinc	lexicalEntry:n0182.e10	
lexicogComponent:n0182.e20_comp	Velez’s subentry for 'affectus'	&	lexicalEntry:n0182.e20	
lexicogComponent:n0199.e10_comp	Velez’s subentry for 'Agnati'	unde	lexicalEntry:n0199.e10	
lexicogComponent:n0208.e02_comp	Velez’s subentry for 'alabastrum'		lexicalEntry:n0208.e02	
lexicogComponent:n0210.e10_comp	Velez’s subentry for 'Alcedonia'	unde	lexicalEntry:n0210.e10	
lexicogComponent:n0225.e02_comp	Velez’s subentry for 'Aliorsum'	vel	lexicalEntry:n0225.e02	
lexicogComponent:n0227.e02_comp	Velez’s subentry for 'Aliquantum'	vel	lexicalEntry:n0227.e02	
lexicogComponent:n0241.e02_comp	Velez’s subentry for 'Alluvio'		lexicalEntry:n0241.e02	
lexicogComponent:n0249.e03_comp	Velez’s subentry for 'Alvearium'		lexicalEntry:n0249.e03	
lexicogComponent:n0251.e10_comp	Velez’s subentry for 'Alumnus'		lexicalEntry:n0251.e10	
lexicogComponent:n0253.e10_comp	Velez’s subentry for '[Am]'		lexicalEntry:n0253.e10	
lexicogComponent:n0255.e02_comp	Velez’s subentry for 'amaracum'		lexicalEntry:n0255.e02	
lexicogComponent:n0273.e02_comp	Velez’s subentry for 'Amabo'		lexicalEntry:n0273.e02	
lexicogComponent:n0280.e02_comp	Velez’s subentry for 'Amphitryonides'	vel	lexicalEntry:n0280.e02	
lexicogComponent:n0283.e10_comp	Velez’s subentry for 'Mussim'	Hinc	lexicalEntry:n0283.e10	
lexicogComponent:n0283.e11_comp	Velez’s subentry for 'Adamussim'		lexicalEntry:n0283.e11	
lexicogComponent:n0283.e12_comp	Velez’s subentry for 'Examussim'	&	lexicalEntry:n0283.e12	
lexicogComponent:n0285.e02_comp	Velez’s subentry for '[An]'		lexicalEntry:n0285.e02	
lexicogComponent:n0289.e02_comp	Velez’s subentry for 'Anchisa'	vel	lexicalEntry:n0289.e02	
lexicogComponent:n0294.e02_comp	Velez’s subentry for 'Angiportus'		lexicalEntry:n0294.e02	
lexicogComponent:n0299.e10_comp	Velez’s subentry for '[Animans]'		lexicalEntry:n0299.e10	
lexicogComponent:n0307.e02_comp	Velez’s subentry for 'anteà'	et	lexicalEntry:n0307.e02	
lexicogComponent:n0320.e02_comp	Velez’s subentry for 'antidotum'		lexicalEntry:n0320.e02	
lexicogComponent:n0331.e02_comp	Velez’s subentry for 'apius'		lexicalEntry:n0331.e02	
lexicogComponent:n0332.e02_comp	Velez’s subentry for 'Aplustrum'		lexicalEntry:n0332.e02	
lexicogComponent:n0338.e02_comp	Velez’s subentry for 'Appetitio'		lexicalEntry:n0338.e02	
lexicogComponent:n0338.e03_comp	Velez’s subentry for 'Appetitus'		lexicalEntry:n0338.e03	
lexicogComponent:n0353.e02_comp	Velez’s subentry for 'Araneus'		lexicalEntry:n0353.e02	
lexicogComponent:n0354.e02_comp	Velez’s subentry for 'Arar'	vel per Apocopen	lexicalEntry:n0354.e02	
lexicogComponent:n0367.e02_comp	Velez’s subentry for 'Areopagites'		lexicalEntry:n0367.e02	
lexicogComponent:n0372.e02_comp	Velez’s subentry for 'Argi'	vel	lexicalEntry:n0372.e02	
lexicogComponent:n0401.e02_comp	Velez’s subentry for 'Assentior'		lexicalEntry:n0401.e02	
lexicogComponent:n0404.e02_comp	Velez’s subentry for 'Assero'		lexicalEntry:n0404.e02	
lexicogComponent:n0404.e10_comp	Velez’s subentry for 'Assertor'	Hinc	lexicalEntry:n0404.e10	
lexicogComponent:n0425.e02_comp	Velez’s subentry for 'Athlantis'		lexicalEntry:n0425.e02	
lexicogComponent:n0431.e02_comp	Velez’s subentry for 'Attagena'		lexicalEntry:n0431.e02	
lexicogComponent:n0434.e10_comp	Velez’s subentry for 'Attentus'	unde	lexicalEntry:n0434.e10	
lexicogComponent:n0437.e02_comp	Velez’s subentry for 'Avarities'		lexicalEntry:n0437.e02	
lexicogComponent:n0441.e10_comp	Velez’s subentry for 'Ausum'	Hinc	lexicalEntry:n0441.e10	
lexicogComponent:n0447.e02_comp	Velez’s subentry for 'Averna'		lexicalEntry:n0447.e02	
lexicogComponent:n0457.e10_comp	Velez’s subentry for 'Aureus'		lexicalEntry:n0457.e10	
lexicogComponent:n0468.e10_comp	Velez’s subentry for 'Axis'		lexicalEntry:n0468.e10	
lexicogComponent:n0471.e02_comp	Velez’s subentry for 'Baccharis'		lexicalEntry:n0471.e02	
lexicogComponent:n0472.e02_comp	Velez’s subentry for '[Bacchanalia]'		lexicalEntry:n0472.e02	
lexicogComponent:n0475.e02_comp	Velez’s subentry for 'Baculus'		lexicalEntry:n0475.e02	
lexicogComponent:n0478.e03_comp	Velez’s subentry for 'Balineae'	et	lexicalEntry:n0478.e03	
lexicogComponent:n0478.e04_comp	Velez’s subentry for 'Balneum'		lexicalEntry:n0478.e04	
lexicogComponent:n0478.e05_comp	Velez’s subentry for 'Balnea'		lexicalEntry:n0478.e05	
lexicogComponent:n0478.e06_comp	Velez’s subentry for 'Balneae'	et	lexicalEntry:n0478.e06	
lexicogComponent:n0480.e02_comp	Velez’s subentry for 'Balteum'		lexicalEntry:n0480.e02	
lexicogComponent:n0481.e02_comp	Velez’s subentry for 'Baptismum'		lexicalEntry:n0481.e02	
lexicogComponent:n0481.e03_comp	Velez’s subentry for 'Baptismus'		lexicalEntry:n0481.e03	
lexicogComponent:n0487.e02_comp	Velez’s subentry for 'Beatitas'		lexicalEntry:n0487.e02	
lexicogComponent:n0492.e02_comp	Velez’s subentry for 'Bellerophontes'		lexicalEntry:n0492.e02	
lexicogComponent:n0508.e10_comp	Velez’s subentry for '[Bidens]'		lexicalEntry:n0508.e10	
lexicogComponent:n0513.e10_comp	Velez’s subentry for 'Bipennis'		lexicalEntry:n0513.e10	
lexicogComponent:n0521.e02_comp	Velez’s subentry for 'Blitus'		lexicalEntry:n0521.e02	
lexicogComponent:n0521.e10_comp	Velez’s subentry for 'Bliteus'	Hinc	lexicalEntry:n0521.e10	
lexicogComponent:n0523.e10_comp	Velez’s subentry for '[Bombyx]'		lexicalEntry:n0523.e10	
lexicogComponent:n0529.e10_comp	Velez’s subentry for 'brevi'	Hinc	lexicalEntry:n0529.e10	
lexicogComponent:n0529.e20_comp	Velez’s subentry for 'Brevia'	&	lexicalEntry:n0529.e20	
lexicogComponent:n0532.e10_comp	Velez’s subentry for 'Buccinum'		lexicalEntry:n0532.e10	
lexicogComponent:n0535.e02_comp	Velez’s subentry for 'Buxum'		lexicalEntry:n0535.e02	
lexicogComponent:n0547.e10_comp	Velez’s subentry for 'Coelum'		lexicalEntry:n0547.e10	
lexicogComponent:n0548.e02_comp	Velez’s subentry for 'Caepa'	vel	lexicalEntry:n0548.e02	
lexicogComponent:n0549.e02_comp	Velez’s subentry for 'Caerete'	vel	lexicalEntry:n0549.e02	
lexicogComponent:n0550.e02_comp	Velez’s subentry for 'Caeretis'	vel	lexicalEntry:n0550.e02	
lexicogComponent:n0556.e02_comp	Velez’s subentry for 'Calamistrum'		lexicalEntry:n0556.e02	
lexicogComponent:n0556.e10_comp	Velez’s subentry for 'calamistratus'		lexicalEntry:n0556.e10	
lexicogComponent:n0558.e02_comp	Velez’s subentry for 'Calcaneum'		lexicalEntry:n0558.e02	
lexicogComponent:n0563.e10_comp	Velez’s subentry for 'calo'	à	lexicalEntry:n0563.e10	
lexicogComponent:n0564.e10_comp	Velez’s subentry for 'Calleo'		lexicalEntry:n0564.e10	
lexicogComponent:n0568.e02_comp	Velez’s subentry for 'Calliopea'	vel	lexicalEntry:n0568.e02	
lexicogComponent:n0571.e02_comp	Velez’s subentry for 'Callus'		lexicalEntry:n0571.e02	
lexicogComponent:n0572.e02_comp	Velez’s subentry for 'Calx'		lexicalEntry:n0572.e02	
lexicogComponent:n0577.e10_comp	Velez’s subentry for 'Cancello'	Hinc	lexicalEntry:n0577.e10	
lexicogComponent:n0582.e02_comp	Velez’s subentry for 'Cannabum'		lexicalEntry:n0582.e02	
lexicogComponent:n0589.e02_comp	Velez’s subentry for 'Capparis'		lexicalEntry:n0589.e02	
lexicogComponent:n0589.e03_comp	Velez’s subentry for 'Cappari'		lexicalEntry:n0589.e03	
lexicogComponent:n0591.e10_comp	Velez’s subentry for 'Captus'	At	lexicalEntry:n0591.e10	
lexicogComponent:n0593.e02_comp	Velez’s subentry for 'Carbasa'		lexicalEntry:n0593.e02	
lexicogComponent:n0599.e10_comp	Velez’s subentry for 'Carptim'	Hinc	lexicalEntry:n0599.e10	
lexicogComponent:n0601.e10_comp	Velez’s subentry for 'Caritas'	hinc	lexicalEntry:n0601.e10	
lexicogComponent:n0602.e02_comp	Velez’s subentry for 'Carrum'		lexicalEntry:n0602.e02	
lexicogComponent:n0603.e02_comp	Velez’s subentry for 'Cassida'		lexicalEntry:n0603.e02	
lexicogComponent:n0605.e10_comp	Velez’s subentry for 'Incassum'	hinc	lexicalEntry:n0605.e10	
lexicogComponent:n0608.e10_comp	Velez’s subentry for 'Cataracta'	He tambem	lexicalEntry:n0608.e10	
lexicogComponent:n0613.e02_comp	Velez’s subentry for 'Cauter'		lexicalEntry:n0613.e02	
lexicogComponent:n0623.e02_comp	Velez’s subentry for '[Celtiber]'	vel	lexicalEntry:n0623.e02	
lexicogComponent:n0624.e10_comp	Velez’s subentry for 'Cenchris'		lexicalEntry:n0624.e10	
lexicogComponent:n0625.e10_comp	Velez’s subentry for 'Census'	unde	lexicalEntry:n0625.e10	
lexicogComponent:n0632.e02_comp	Velez’s subentry for 'Cerasus'		lexicalEntry:n0632.e02	
lexicogComponent:n0650.e02_comp	Velez’s subentry for 'Chirographus'		lexicalEntry:n0650.e02	
lexicogComponent:n0663.e10_comp	Velez’s subentry for 'Procingo'	unde	lexicalEntry:n0663.e10	
lexicogComponent:n0664.e02_comp	Velez’s subentry for 'Cingulus'		lexicalEntry:n0664.e02	
lexicogComponent:n0664.e10_comp	Velez’s subentry for 'Cingula'	At	lexicalEntry:n0664.e10	
lexicogComponent:n0667.e02_comp	Velez’s subentry for '[Circa]'		lexicalEntry:n0667.e02	
lexicogComponent:n0669.e02_comp	Velez’s subentry for 'Circum'		lexicalEntry:n0669.e02	
lexicogComponent:n0674.e10_comp	Velez’s subentry for 'Cisalpinus'	quod ex compositione patet, ut:	lexicalEntry:n0674.e10	
lexicogComponent:n0674.e20_comp	Velez’s subentry for 'Cispadanus'		lexicalEntry:n0674.e20	
lexicogComponent:n0679.e02_comp	Velez’s subentry for 'Citra'		lexicalEntry:n0679.e02	
lexicogComponent:n0681.e02_comp	Velez’s subentry for 'Citum'		lexicalEntry:n0681.e02	
lexicogComponent:n0681.e10_comp	Velez’s subentry for 'Citus'	unde.	lexicalEntry:n0681.e10	
lexicogComponent:n0692.e10_comp	Velez’s subentry for '[Climax]'		lexicalEntry:n0692.e10	
lexicogComponent:n0698.e02_comp	Velez’s subentry for 'Clypeum'		lexicalEntry:n0698.e02	
lexicogComponent:n0704.e10_comp	Velez’s subentry for 'Cochlearium'		lexicalEntry:n0704.e10	
lexicogComponent:n0705.e10_comp	Velez’s subentry for '[Cocles]'		lexicalEntry:n0705.e10	
lexicogComponent:n0723.e02_comp	Velez’s subentry for 'Collabefacto'	seu potiùs	lexicalEntry:n0723.e02	
lexicogComponent:n0727.e10_comp	Velez’s subentry for 'colis'		lexicalEntry:n0727.e10	
lexicogComponent:n0730.e02_comp	Velez’s subentry for 'Colluvio'		lexicalEntry:n0730.e02	
lexicogComponent:n0732.e02_comp	Velez’s subentry for 'Colocasium'		lexicalEntry:n0732.e02	
lexicogComponent:n0733.e02_comp	Velez’s subentry for 'Colostrum'		lexicalEntry:n0733.e02	
lexicogComponent:n0734.e02_comp	Velez’s subentry for 'Colus'		lexicalEntry:n0734.e02	
lexicogComponent:n0742.e10_comp	Velez’s subentry for 'Commendatus'	Hinc	lexicalEntry:n0742.e10	
lexicogComponent:n0743.e02_comp	Velez’s subentry for 'Commentarium'		lexicalEntry:n0743.e02	
lexicogComponent:n0753.e10_comp	Velez’s subentry for 'Commune'		lexicalEntry:n0753.e10	
lexicogComponent:n0755.e02_comp	Velez’s subentry for 'Compago'		lexicalEntry:n0755.e02	
lexicogComponent:n0759.e10_comp	Velez’s subentry for 'Comperior'	Etiam	lexicalEntry:n0759.e10	
lexicogComponent:n0771.e10_comp	Velez’s subentry for 'Compositò'	Hinc	lexicalEntry:n0771.e10	
lexicogComponent:n0771.e20_comp	Velez’s subentry for 'compositè'	&	lexicalEntry:n0771.e20	
lexicogComponent:n0778.e02_comp	Velez’s subentry for 'Concio'		lexicalEntry:n0778.e02	
lexicogComponent:n0780.e02_comp	Velez’s subentry for 'Concinnitudo'		lexicalEntry:n0780.e02	
lexicogComponent:n0783.e02_comp	Velez’s subentry for 'Conclavium'		lexicalEntry:n0783.e02	
lexicogComponent:n0783.e03_comp	Velez’s subentry for 'Conclavis'		lexicalEntry:n0783.e03	
lexicogComponent:n0796.e10_comp	Velez’s subentry for 'confertus'	Hinc	lexicalEntry:n0796.e10	
lexicogComponent:n0800.e02_comp	Velez’s subentry for 'Confine'		lexicalEntry:n0800.e02	
lexicogComponent:n0819.e10_comp	Velez’s subentry for '[Consero]'		lexicalEntry:n0819.e10	
lexicogComponent:n0828.e02_comp	Velez’s subentry for 'Consortio'		lexicalEntry:n0828.e02	
lexicogComponent:n0839.e10_comp	Velez’s subentry for 'Consultum'	At	lexicalEntry:n0839.e10	
lexicogComponent:n0840.e02_comp	Velez’s subentry for 'Contagio'		lexicalEntry:n0840.e02	
lexicogComponent:n0840.e03_comp	Velez’s subentry for 'Contagium'		lexicalEntry:n0840.e03	
