lexicog.Entry	rdfs.label	lexinfo.note	lexicog.describes	lexicog.subComponent	skos.note
lexicogEntry:n0001	Velez’s entry for 'A'		lexicalEntry:n0001.e01		Fol. III. num. 15. & fol. 263. 30.
lexicogEntry:n0002	Velez’s entry for 'Abalieno'		lexicalEntry:n0002.e01		237. 4. ibid. 31
lexicogEntry:n0003	Velez’s entry for 'Abantiades'		lexicalEntry:n0003.e01		355. 13.
lexicogEntry:n0004	Velez’s entry for 'Abax'		lexicalEntry:n0004.e01		308. 22.
lexicogEntry:n0005	Velez’s entry for 'Abdico'		lexicalEntry:n0005.e01		236. 1.
lexicogEntry:n0006	Velez’s entry for 'Abdomen'		lexicalEntry:n0006.e01		142. 28.
lexicogEntry:n0007	Velez’s entry for 'Abduco'		lexicalEntry:n0007.e01		237. 3.
lexicogEntry:n0008	Velez’s entry for 'Abel'		lexicalEntry:n0008.e01		364. 25.
lexicogEntry:n0009	Velez’s entry for 'Abeo'		lexicalEntry:n0009.e01		303. 3.
lexicogEntry:n0010	Velez’s entry for 'Abhinc'		lexicalEntry:n0010.e01		269. 6.
lexicogEntry:n0011	Velez’s entry for 'Abjectus'		lexicalEntry:n0011.e01		255. 24.
lexicogEntry:n0012	Velez’s entry for 'Abies'		lexicalEntry:n0012.e01		323. 5.
lexicogEntry:n0013	Velez’s entry for 'Abigail'		lexicalEntry:n0013.e01		364. 25.
lexicogEntry:n0014	Velez’s entry for 'Abimelec'		lexicalEntry:n0014.e01		364. 30.
lexicogEntry:n0015	Velez’s entry for 'Abisai'		lexicalEntry:n0015.e01		Ibidem.
lexicogEntry:n0016	Velez’s entry for 'Abligurio'		lexicalEntry:n0016.e01		179. 22.
lexicogEntry:n0017	Velez’s entry for 'Abluo'		lexicalEntry:n0017.e01		298. 6.
lexicogEntry:n0018	Velez’s entry for 'Aboleo'		lexicalEntry:n0018.e01		184. 22.
lexicogEntry:n0019	Velez’s entry for 'Abolesco'		lexicalEntry:n0019.e01		Ibidem.
lexicogEntry:n0020	Velez’s entry for 'Abominor'		lexicalEntry:n0020.e01		239. 32.
lexicogEntry:n0021	Velez’s entry for 'Abrado'		lexicalEntry:n0021.e01		237. 3.
lexicogEntry:n0022	Velez’s entry for 'Abrahamus'		lexicalEntry:n0022.e01		168. 30.
lexicogEntry:n0023	Velez’s entry for 'Abripio'		lexicalEntry:n0023.e01		237. 2.
lexicogEntry:n0024	Velez’s entry for 'Abrotonum'		lexicalEntry:n0024.e01	lexicogComponent:n0024.e02_comp	172. 3.
