lexicog.UsageExample	lexinfo.note	rdfs.label	rdfs.value.la	rdfs.value.pt	skos.note
usageExample:n0001.sg01.s02.u01		á coena	 Á coena 	 depois da cea 	
usageExample:n0001.sg01.s02.u02		á tergo	 Á tergo 		id est, post tergum, retrò.
usageExample:n0001.sg01.s02.u03		á romanis tubâ canere coeperunt	 Á Romanis tubâ canere coeperunt 	 da parte dos Romanos , etc 	
usageExample:n0001.sg01.s02.u04		ab aliquo stare, facere, uel dicere	 Ab aliquo stare , facere , vel dicere 	 estar pela parte de alguem ajudando - o , ou defendendo - o 	
usageExample:n0001.sg01.s02.u05		ab aliquo soluo, persoluo, do, numero, repraesento, uel suppedito	 Ab aliquo solvo , persolvo , do , numero , repraesento , vel suppedito 	 faço , que outrem pague por mim , o que devo 	
usageExample:n0001.sg01.s03.u01		ab re	 Ab re 		id est, praeter, sive contra utilitatem, vel sine utilitate.
usageExample:n0001.sg01.s04.u01		serui à manibus, siue à manu	 Servi à manibus , sive à manu 	 os escreventes 	qui etiam dicuntur Amanuenses.
usageExample:n0001.sg01.s04.u02		á pedibus	 Á pedibus 	 os creados , ou moços de serviço 	
usageExample:n0001.sg01.s04.u03		á secreto, siue à secretis	 Á secreto , sive à secretis 	 o Secretario 	& sic de aliis.
usageExample:n0001.sg01.s05.u01		a iudice uenio	 A judice venio 	 venho de caza do juiz 	
usageExample:n0001.sg01.s99.u01		a deo	 A Deo 	 de Deos 	
usageExample:n0001.sg01.s99.u02		ab initio	 Ab initio 	 desde o principio 	
usageExample:n0001.sg01.s99.u03		a puero	 A puero 	 desde menino 	
usageExample:n0002.sg01.s01.u01		totum se à te abalienauit dolabella	 Totum se à te abalienavit Dolabella 		
usageExample:n0002.sg01.s99.u01		agros à se abalienare	 Agros à se abalienare 	 desapropriar - se dos campos 	
usageExample:n0005.sg01.s01.u01		abdicare se magistratu	 Abdicare se Magistratu 	 depor o officio 	
usageExample:n0005.sg01.s01.u02		pater, qui abdicat filium, omni eum iure priuat	 Pater , qui abdicat filium , omni eum jure privat 	 quem desherda o filho em sua vida , etc 	
usageExample:n0006.sg01.s99.u01		homo abdomini natus	 Homo abdomini natus 	 comillaõ , ou goloso 	
usageExample:n0007.sg01.s01.u01		abducere se à molestiis	 Abducere se à molestiis 		
usageExample:n0009.sg01.s99.u01		abire è uita, uel è medio	 Abire è vita , vel è medio 	 morrer 	
usageExample:n0009.sg01.s99.u02		abire consulatu	 Abire consulatu 	 deixar o consulado 	
usageExample:n0009.sg01.s99.u03		pessum abire	 Pessum abire 	 ir ao fundo 	
usageExample:n0010.sg01.s99.u01		duos abhinc annos, uel duobus abhinc annis	 Duos abhinc annos , vel duobus abhinc annis 	 ha dous annos 	
usageExample:n0018.sg01.s01.u01		abolere nomen, crimen, dolorem	 Abolere nomen , crimen , dolorem 		
usageExample:n0021.sg01.s99.u01		publicani à populo pecunias abradunt	 Publicani à populo pecunias abradunt 	 os rendeiros , etc 	
usageExample:n0023.sg01.s99.u01		abripuit repente sese subitò	 Abripuit repente sese subitò 	 desappareceo de repente 	
usageExample:n0025.sg01.s01.u01		abs quouis homine	 Abs quovis homine 	 de qualquer homem 	
usageExample:n0025.sg01.s01.u02		caueo mihi abs te cautè	 Caveo mihi abs te cautè 	 acautelo - me muito de vós 	
usageExample:n0028.sg01.s99.u01		absolui reum suspicionis, uel suspicione, uel de suspicione proditionis	 Absolvi reum suspicionis , vel suspicione , vel de suspicione proditionis 		
usageExample:n0028.sg01.s99.u02		hic hominem ueneri absoluit	 Hic hominem Veneri absolvit 		id est, quod ad Venerem attinet, absolvit eum.
usageExample:n0028.sg01.s99.u03		absoluere orbem	 Absolvere orbem 		pro consumere, & perdere apud Lucan.
usageExample:n0028.sg01.s99.u04		absoluere creditorem	 Absolvere creditorem 		pro dimittere, eique satisfacere.
usageExample:n0028.sg01.s99.u05		quaeso, absoluito me hinc extemplò	 Quaeso , absolvito me hinc extemplò 	 acabai , naõ me detenhais mais , ou naõ me tenhais mais suspenso 	
